,org_id,org_lat,org_long,des_id,des_lat,des_long,dist_drive_2pm_mi_pes,dur_drive_2pm_mins_pes,dist_transit_2pm_sat_mi_pes,dur_transit_2pm_sat_mins_pes,dist_drive_6pm_mi_pes,dur_drive_6pm_mins_pes,dist_drive_9am_mi_pes,dur_drive_9am_mins_pes,dist_walk_mi,dur_walk_secs
0,274.0,40.686919,-73.976682,398.0,40.691652,-73.999979,2.0,24.0,2.0,14.0,2.0,26.0,2.0,27.0,1.4,1688.0
1,274.0,40.686919,-73.976682,241.0,40.68981,-73.974931,0.4,4.0,0.4,3.0,0.4,4.0,0.4,5.0,0.3,380.0
2,274.0,40.686919,-73.976682,397.0,40.684157,-73.969223,0.4,5.0,0.4,3.0,0.4,6.0,0.4,5.0,0.4,548.0
3,274.0,40.686919,-73.976682,83.0,40.683826,-73.976323,0.3,4.0,0.3,3.0,0.3,4.0,0.3,4.0,0.3,320.0
4,274.0,40.686919,-73.976682,460.0,40.712859,-73.965903,2.9,29.0,3.1,17.0,3.1,31.0,3.1,32.0,2.6,3221.0
5,274.0,40.686919,-73.976682,409.0,40.690649,-73.956431,1.2,11.0,1.2,7.0,1.2,13.0,1.2,12.0,1.2,1448.0
6,274.0,40.686919,-73.976682,324.0,40.689888,-73.981013,0.6,7.0,0.6,4.0,0.6,6.0,0.6,8.0,0.4,437.0
7,274.0,40.686919,-73.976682,216.0,40.700379,-73.995481,2.2,22.0,2.2,13.0,2.2,24.0,2.2,25.0,1.5,1910.0
8,274.0,40.686919,-73.976682,343.0,40.69794,-73.969868,1.2,11.0,1.2,8.0,1.2,13.0,1.2,14.0,1.2,1430.0
9,274.0,40.686919,-73.976682,395.0,40.68807,-73.984106,0.9,10.0,0.9,7.0,0.9,12.0,0.9,13.0,0.4,518.0
10,373.0,40.693317,-73.95382,398.0,40.691652,-73.999979,4.1,31.0,4.1,16.0,4.0,38.0,4.1,31.0,2.7,3371.0
11,373.0,40.693317,-73.95382,241.0,40.68981,-73.974931,1.5,17.0,1.5,9.0,1.5,17.0,1.5,18.0,1.2,1533.0
12,373.0,40.693317,-73.95382,397.0,40.684157,-73.969223,1.6,16.0,1.6,10.0,1.6,16.0,1.6,16.0,1.4,1720.0
13,373.0,40.693317,-73.95382,83.0,40.683826,-73.976323,2.5,23.0,2.5,13.0,2.5,25.0,2.5,24.0,1.7,2139.0
14,373.0,40.693317,-73.95382,460.0,40.712859,-73.965903,2.2,25.0,2.2,13.0,2.2,23.0,2.2,26.0,1.7,2168.0
15,373.0,40.693317,-73.95382,409.0,40.690649,-73.956431,0.8,11.0,0.8,6.0,0.8,11.0,0.8,12.0,0.3,403.0
16,373.0,40.693317,-73.95382,324.0,40.689888,-73.981013,1.8,21.0,1.8,11.0,1.8,21.0,1.8,24.0,1.5,1897.0
17,373.0,40.693317,-73.95382,216.0,40.700379,-73.995481,4.9,32.0,4.9,17.0,4.4,43.0,4.9,33.0,2.6,3239.0
18,373.0,40.693317,-73.95382,343.0,40.69794,-73.969868,1.6,19.0,1.6,10.0,1.6,17.0,1.6,19.0,1.2,1428.0
19,373.0,40.693317,-73.95382,395.0,40.68807,-73.984106,3.1,29.0,3.1,17.0,3.1,32.0,3.1,33.0,1.8,2209.0
20,443.0,40.708531,-73.96409,398.0,40.691652,-73.999979,4.0,23.0,4.0,14.0,3.9,38.0,4.0,26.0,3.2,3970.0
21,443.0,40.708531,-73.96409,241.0,40.68981,-73.974931,2.4,21.0,2.4,14.0,2.4,27.0,2.4,24.0,2.0,2512.0
22,443.0,40.708531,-73.96409,397.0,40.684157,-73.969223,2.6,22.0,2.6,15.0,2.6,28.0,2.6,25.0,2.2,2741.0
23,443.0,40.708531,-73.96409,83.0,40.683826,-73.976323,3.1,29.0,3.1,18.0,3.1,37.0,3.1,32.0,2.5,3147.0
24,443.0,40.708531,-73.96409,460.0,40.712859,-73.965903,0.4,4.0,0.4,3.0,0.4,5.0,0.4,5.0,0.4,508.0
25,443.0,40.708531,-73.96409,409.0,40.690649,-73.956431,2.0,21.0,2.0,14.0,2.1,25.0,1.8,23.0,1.4,1798.0
26,443.0,40.708531,-73.96409,324.0,40.689888,-73.981013,2.8,26.0,2.8,16.0,2.8,30.0,2.8,29.0,2.3,2876.0
27,443.0,40.708531,-73.96409,216.0,40.700379,-73.995481,4.8,24.0,4.8,15.0,4.8,46.0,4.8,27.0,2.8,3368.0
28,443.0,40.708531,-73.96409,343.0,40.69794,-73.969868,1.6,13.0,1.6,9.0,1.6,17.0,1.6,16.0,1.2,1449.0
29,443.0,40.708531,-73.96409,395.0,40.68807,-73.984106,3.5,31.0,3.5,19.0,3.5,45.0,3.5,37.0,2.5,3087.0
30,157.0,40.690893,-73.996123,398.0,40.691652,-73.999979,0.6,7.0,0.6,5.0,0.6,7.0,0.6,7.0,0.2,282.0
31,157.0,40.690893,-73.996123,241.0,40.68981,-73.974931,1.6,22.0,1.6,13.0,1.6,22.0,1.6,22.0,1.3,1584.0
32,157.0,40.690893,-73.996123,397.0,40.684157,-73.969223,1.7,20.0,1.7,11.0,1.7,20.0,1.7,20.0,1.6,1952.0
33,157.0,40.690893,-73.996123,83.0,40.683826,-73.976323,1.2,15.0,1.2,8.0,1.2,15.0,1.2,14.0,1.2,1428.0
34,157.0,40.690893,-73.996123,460.0,40.712859,-73.965903,4.2,23.0,4.2,15.0,4.2,23.0,4.2,26.0,3.3,4074.0
35,157.0,40.690893,-73.996123,409.0,40.690649,-73.956431,3.8,22.0,3.8,14.0,3.8,24.0,3.8,24.0,2.3,2790.0
36,157.0,40.690893,-73.996123,324.0,40.689888,-73.981013,1.2,18.0,1.2,11.0,1.2,17.0,1.2,18.0,1.0,1175.0
37,157.0,40.690893,-73.996123,216.0,40.700379,-73.995481,0.8,5.0,0.8,3.0,0.8,5.0,0.8,5.0,0.8,969.0
38,157.0,40.690893,-73.996123,343.0,40.69794,-73.969868,3.3,15.0,3.3,9.0,3.3,15.0,3.3,15.0,1.8,2204.0
39,157.0,40.690893,-73.996123,395.0,40.68807,-73.984106,0.8,11.0,0.8,7.0,0.8,9.0,0.8,11.0,0.7,896.0
40,364.0,40.689004,-73.960239,398.0,40.691652,-73.999979,3.5,22.0,3.5,11.0,3.4,31.0,3.5,22.0,2.2,2750.0
41,364.0,40.689004,-73.960239,241.0,40.68981,-73.974931,0.9,7.0,0.9,5.0,0.9,8.0,0.9,9.0,0.9,1021.0
42,364.0,40.689004,-73.960239,397.0,40.684157,-73.969223,1.0,9.0,1.0,6.0,1.0,10.0,1.0,10.0,0.8,956.0
43,364.0,40.689004,-73.960239,83.0,40.683826,-73.976323,1.6,14.0,1.6,9.0,1.6,17.0,1.6,17.0,1.1,1373.0
44,364.0,40.689004,-73.960239,460.0,40.712859,-73.965903,2.0,20.0,2.2,12.0,2.2,21.0,2.2,24.0,1.9,2295.0
45,364.0,40.689004,-73.960239,409.0,40.690649,-73.956431,0.3,2.0,0.3,2.0,0.3,3.0,0.3,3.0,0.3,371.0
46,364.0,40.689004,-73.960239,324.0,40.689888,-73.981013,1.2,11.0,1.2,7.0,1.2,12.0,1.2,14.0,1.2,1400.0
47,364.0,40.689004,-73.960239,216.0,40.700379,-73.995481,4.3,23.0,4.3,13.0,3.5,35.0,4.3,24.0,2.4,2925.0
48,364.0,40.689004,-73.960239,343.0,40.69794,-73.969868,1.0,10.0,1.0,6.0,1.0,10.0,1.0,11.0,1.1,1258.0
49,364.0,40.689004,-73.960239,395.0,40.68807,-73.984106,2.2,21.0,2.2,13.0,1.7,20.0,2.2,25.0,1.3,1580.0
50,233.0,40.694757,-73.990527,398.0,40.691652,-73.999979,1.5,12.0,1.5,7.0,0.9,10.0,1.5,11.0,0.8,924.0
51,233.0,40.694757,-73.990527,241.0,40.68981,-73.974931,1.5,16.0,1.5,11.0,1.5,17.0,1.5,17.0,1.0,1248.0
52,233.0,40.694757,-73.990527,397.0,40.684157,-73.969223,1.7,22.0,1.7,13.0,2.0,21.0,1.7,21.0,1.4,1729.0
53,233.0,40.694757,-73.990527,83.0,40.683826,-73.976323,1.5,19.0,1.5,11.0,1.5,19.0,1.5,18.0,1.2,1387.0
54,233.0,40.694757,-73.990527,460.0,40.712859,-73.965903,3.1,26.0,3.1,16.0,3.1,24.0,3.1,28.0,2.8,3477.0
55,233.0,40.694757,-73.990527,409.0,40.690649,-73.956431,2.5,26.0,2.5,16.0,2.5,27.0,2.5,27.0,2.0,2453.0
56,233.0,40.694757,-73.990527,324.0,40.689888,-73.981013,1.2,15.0,1.2,10.0,1.2,16.0,1.2,16.0,0.7,838.0
57,233.0,40.694757,-73.990527,216.0,40.700379,-73.995481,1.5,13.0,1.5,9.0,1.5,13.0,1.5,16.0,0.6,671.0
58,233.0,40.694757,-73.990527,343.0,40.69794,-73.969868,1.4,16.0,1.4,10.0,1.4,15.0,1.4,17.0,1.3,1604.0
59,233.0,40.694757,-73.990527,395.0,40.68807,-73.984106,1.0,13.0,1.0,8.0,1.0,11.0,1.0,13.0,0.7,860.0
60,421.0,40.695734,-73.971297,398.0,40.691652,-73.999979,2.4,20.0,3.4,11.0,2.4,22.0,2.4,20.0,1.8,2264.0
61,421.0,40.695734,-73.971297,241.0,40.68981,-73.974931,0.7,5.0,0.7,4.0,0.7,6.0,0.7,7.0,0.6,795.0
62,421.0,40.695734,-73.971297,397.0,40.684157,-73.969223,0.8,6.0,0.8,5.0,0.8,7.0,0.8,7.0,0.8,1023.0
63,421.0,40.695734,-73.971297,83.0,40.683826,-73.976323,1.4,11.0,1.4,8.0,1.4,13.0,1.4,13.0,1.2,1439.0
64,421.0,40.695734,-73.971297,460.0,40.712859,-73.965903,2.1,20.0,2.1,12.0,2.1,18.0,2.1,22.0,1.7,2144.0
65,421.0,40.695734,-73.971297,409.0,40.690649,-73.956431,1.4,12.0,1.4,8.0,1.4,14.0,1.4,13.0,1.2,1424.0
66,421.0,40.695734,-73.971297,324.0,40.689888,-73.981013,1.0,9.0,1.0,6.0,1.0,10.0,1.0,12.0,0.9,1159.0
67,421.0,40.695734,-73.971297,216.0,40.700379,-73.995481,4.2,20.0,4.2,12.0,3.6,29.0,4.2,20.0,1.5,1912.0
68,421.0,40.695734,-73.971297,343.0,40.69794,-73.969868,0.3,3.0,0.3,3.0,0.3,3.0,0.3,4.0,0.3,322.0
69,421.0,40.695734,-73.971297,395.0,40.68807,-73.984106,2.0,18.0,2.0,12.0,2.0,21.0,2.0,22.0,1.1,1371.0
70,270.0,40.693083,-73.971789,398.0,40.691652,-73.999979,3.8,23.0,2.9,15.0,2.9,27.0,3.8,24.0,1.7,2111.0
71,270.0,40.693083,-73.971789,241.0,40.68981,-73.974931,0.4,4.0,0.4,3.0,0.4,4.0,0.4,5.0,0.4,487.0
72,270.0,40.693083,-73.971789,397.0,40.684157,-73.969223,0.7,6.0,0.7,5.0,0.7,6.0,0.7,6.0,0.6,803.0
73,270.0,40.693083,-73.971789,83.0,40.683826,-73.976323,1.1,10.0,1.1,8.0,1.1,11.0,1.1,12.0,1.0,1145.0
74,270.0,40.693083,-73.971789,460.0,40.712859,-73.965903,2.5,23.0,2.6,17.0,2.5,22.0,2.5,27.0,1.9,2384.0
75,270.0,40.693083,-73.971789,409.0,40.690649,-73.956431,1.3,11.0,1.3,8.0,1.3,13.0,1.3,13.0,1.0,1247.0
76,270.0,40.693083,-73.971789,324.0,40.689888,-73.981013,0.8,8.0,0.8,5.0,0.8,8.0,0.8,11.0,0.7,851.0
77,270.0,40.693083,-73.971789,216.0,40.700379,-73.995481,2.7,28.0,4.6,15.0,2.7,28.0,4.6,25.0,1.6,1961.0
78,270.0,40.693083,-73.971789,343.0,40.69794,-73.969868,0.7,7.0,0.7,6.0,0.7,7.0,0.7,9.0,0.5,595.0
79,270.0,40.693083,-73.971789,395.0,40.68807,-73.984106,1.3,16.0,1.3,11.0,1.3,17.0,1.3,20.0,0.9,1084.0
80,261.0,40.694749,-73.983625,398.0,40.691652,-73.999979,2.3,14.0,2.3,9.0,1.9,20.0,2.3,15.0,1.2,1509.0
81,261.0,40.694749,-73.983625,241.0,40.68981,-73.974931,1.1,10.0,1.1,7.0,1.1,10.0,1.1,11.0,0.7,893.0
82,261.0,40.694749,-73.983625,397.0,40.684157,-73.969223,1.4,15.0,1.4,9.0,1.4,15.0,1.4,16.0,1.1,1441.0
83,261.0,40.694749,-73.983625,83.0,40.683826,-73.976323,1.3,14.0,1.3,10.0,1.3,15.0,1.3,15.0,0.9,1103.0
84,261.0,40.694749,-73.983625,460.0,40.712859,-73.965903,2.8,19.0,2.8,12.0,2.8,18.0,2.8,21.0,2.4,3004.0
85,261.0,40.694749,-73.983625,409.0,40.690649,-73.956431,2.1,19.0,2.1,12.0,2.1,20.0,2.1,21.0,1.7,2094.0
86,261.0,40.694749,-73.983625,324.0,40.689888,-73.981013,0.9,9.0,0.9,6.0,0.9,9.0,0.9,10.0,0.4,493.0
87,261.0,40.694749,-73.983625,216.0,40.700379,-73.995481,3.1,15.0,3.1,10.0,2.0,20.0,3.1,17.0,0.9,1157.0
88,261.0,40.694749,-73.983625,343.0,40.69794,-73.969868,1.0,10.0,1.0,6.0,1.0,9.0,1.0,11.0,0.9,1130.0
89,261.0,40.694749,-73.983625,395.0,40.68807,-73.984106,1.2,15.0,1.2,10.0,1.2,14.0,1.2,16.0,0.5,681.0
90,419.0,40.695807,-73.973556,398.0,40.691652,-73.999979,2.6,22.0,2.6,14.0,2.6,24.0,2.6,23.0,1.7,2127.0
91,419.0,40.695807,-73.973556,241.0,40.68981,-73.974931,0.6,5.0,0.6,4.0,0.6,5.0,0.6,5.0,0.5,642.0
92,419.0,40.695807,-73.973556,397.0,40.684157,-73.969223,1.0,8.0,1.0,7.0,1.0,9.0,1.0,9.0,0.9,1099.0
93,419.0,40.695807,-73.973556,83.0,40.683826,-73.976323,1.2,11.0,1.2,9.0,1.2,12.0,1.2,12.0,1.1,1293.0
94,419.0,40.695807,-73.973556,460.0,40.712859,-73.965903,2.8,26.0,2.8,17.0,2.8,24.0,2.8,29.0,1.8,2278.0
95,419.0,40.695807,-73.973556,409.0,40.690649,-73.956431,1.6,14.0,1.6,10.0,1.6,16.0,1.6,15.0,1.3,1560.0
96,419.0,40.695807,-73.973556,324.0,40.689888,-73.981013,0.9,9.0,0.9,6.0,0.9,8.0,0.9,11.0,0.8,970.0
97,419.0,40.695807,-73.973556,216.0,40.700379,-73.995481,3.8,22.0,3.8,15.0,2.5,27.0,3.8,24.0,1.4,1776.0
98,419.0,40.695807,-73.973556,343.0,40.69794,-73.969868,1.0,10.0,1.0,8.0,1.0,9.0,1.0,11.0,0.4,450.0
99,419.0,40.695807,-73.973556,395.0,40.68807,-73.984106,1.4,17.0,1.4,12.0,1.4,17.0,1.4,20.0,1.0,1216.0
